state_id,country_id,state_name,state_code
14.1,14,AUSTRALIAN_CAPITAL_TERRITORY,ACT
14.2,14,NEW_SOUTH_WALES,NSW
14.3,14,NORTHERN_TERRITORY,NT
14.4,14,QUEENSLAND,QLD
14.5,14,SOUTH_AUSTRALIA,SA
14.6,14,TASMANIA,TAS
14.7,14,VICTORIA,VIC
14.8,14,WESTERN_AUSTRALIA,WA
39.1,39,ALBERTA,AB
39.2,39,BRITISH_COLUMBIA,BC
39.3,39,MANITOBA,MB
39.4,39,NEW_BRUNSWICK,NB
39.5,39,NEWFOUNDLAND_AND_LABRADOR,NL
39.6,39,NORTHWEST_TERRITORIES,NT
39.7,39,NOVA_SCOTIA,NS
39.8,39,NUNAVUT,NU
39.9,39,ONTARIO,ON
39.10,39,PRINCE_EDWARD_ISLAND,PE
39.11,39,QUEBEC,QC
39.12,39,SASKATCHEWAN,SK
39.13,39,YUKON,YT
82.1,82,BADEN-WURTTEMBERG,BW
82.2,82,BAVARIA,BY
82.3,82,BERLIN,BE
82.4,82,BRANDENBURG,BB
82.5,82,BREMEN,HB
82.6,82,HAMBURG,HH
82.7,82,HESSE,HE
82.8,82,LOWER_SAXONY,NI
82.9,82,MECKLENBURG-VORPOMMERN,MV
82.10,82,NORTH_RHINE-WESTPHALIA,NW
82.11,82,RHINELAND-PALATINATE,RP
82.12,82,SAARLAND,SL
82.13,82,SAXONY,SN
82.14,82,SAXONY-ANHALT,ST
82.15,82,SCHLESWIG-HOLSTEIN,SH
82.16,82,THURINGIA,TH
101.1,101,ANDAMAN_AND_NICOBAR_ISLANDS,AN
101.2,101,ANDHRA_PRADESH,AP
101.3,101,ARUNACHAL_PRADESH,AR
101.4,101,ASSAM,AS
101.5,101,BIHAR,BR
101.6,101,CHANDIGARH,CH
101.7,101,CHHATTISGARH,CT
101.8,101,DADRA_AND_NAGAR_HAVELI_AND_DAMAN_AND_DIU,DH
101.9,101,DELHI,DL
101.10,101,GOA,GA
101.11,101,GUJARAT,GJ
101.12,101,HARYANA,HR
101.13,101,HIMACHAL_PRADESH,HP
101.14,101,JAMMU_AND_KASHMIR,JK
101.15,101,JHARKHAND,JH
101.16,101,KARNATAKA,KA
101.17,101,KERALA,KL
101.18,101,LADAKH,LA
101.19,101,LAKSHADWEEP,LD
101.20,101,MADHYA_PRADESH,MP
101.21,101,MAHARASHTRA,MH
101.22,101,MANIPUR,MN
101.23,101,MEGHALAYA,ML
101.24,101,MIZORAM,MZ
101.25,101,NAGALAND,NL
101.26,101,ODISHA,OR
101.27,101,PUDUCHERRY,PY
101.28,101,PUNJAB,PB
101.29,101,RAJASTHAN,RJ
101.30,101,SIKKIM,SK
101.31,101,TAMIL_NADU,TN
101.32,101,TELANGANA,TG
101.33,101,TRIPURA,TR
101.34,101,UTTAR_PRADESH,UP
101.35,101,UTTARAKHAND,UT
101.36,101,WEST_BENGAL,WB
233.1,233,ALABAMA,AL
233.2,233,ALASKA,AK
233.4,233,ARIZONA,AZ
233.5,233,ARKANSAS,AR
233.7,233,CALIFORNIA,CA
233.8,233,COLORADO,CO
233.9,233,CONNECTICUT,CT
233.10,233,DELAWARE,DE
233.11,233,DISTRICT_OF_COLUMBIA,DC
233.12,233,FLORIDA,FL
233.13,233,GEORGIA,GA
233.15,233,HAWAII,HI
233.17,233,IDAHO,ID
233.18,233,ILLINOIS,IL
233.19,233,INDIANA,IN
233.20,233,IOWA,IA
233.23,233,KANSAS,KS
233.24,233,KENTUCKY,KY
233.26,233,LOUISIANA,LA
233.27,233,MAINE,ME
233.28,233,MARYLAND,MD
233.29,233,MASSACHUSETTS,MA
233.30,233,MICHIGAN,MI
233.32,233,MINNESOTA,MN
233.33,233,MISSISSIPPI,MS
233.34,233,MISSOURI,MO
233.35,233,MONTANA,MT
233.37,233,NEBRASKA,NE
233.38,233,NEVADA,NV
233.39,233,NEW_HAMPSHIRE,NH
233.40,233,NEW_JERSEY,NJ
233.41,233,NEW_MEXICO,NM
233.42,233,NEW_YORK,NY
233.43,233,NORTH_CAROLINA,NC
233.44,233,NORTH_DAKOTA,ND
233.46,233,OHIO,OH
233.47,233,OKLAHOMA,OK
233.48,233,OREGON,OR
233.50,233,PENNSYLVANIA,PA
233.52,233,RHODE_ISLAND,RI
233.53,233,SOUTH_CAROLINA,SC
233.54,233,SOUTH_DAKOTA,SD
233.55,233,TENNESSEE,TN
233.56,233,TEXAS,TX
233.59,233,UTAH,UT
233.60,233,VERMONT,VT
233.61,233,VIRGINIA,VA
233.63,233,WASHINGTON,WA
233.64,233,WEST_VIRGINIA,WV
233.65,233,WISCONSIN,WI
233.66,233,WYOMING,WY
