country_id,country_name,phone_code,country_code,last_update_date,is_eu_member
94,country_name_2398,phone_code_2527,country_code_8075,2026-02-20 08:47:00,False
832,country_name_3131,phone_code_1982,country_code_6400,2026-12-10 12:26:00,False
895,country_name_7929,phone_code_1842,country_code_5712,2026-11-04 18:22:00,True
592,country_name_9313,phone_code_4485,country_code_3535,2026-12-04 00:14:00,True
359,country_name_7022,phone_code_2882,country_code_5564,2026-10-21 16:51:00,False
866,country_name_1430,phone_code_5381,country_code_1474,2026-04-03 17:44:00,False
944,country_name_6567,phone_code_6751,country_code_1100,2026-04-03 13:36:00,False
72,country_name_3324,phone_code_1502,country_code_2503,2026-09-29 15:24:00,False
465,country_name_6585,phone_code_3578,country_code_7062,2026-06-10 08:20:00,True
905,country_name_1861,phone_code_3549,country_code_3579,2026-11-13 10:43:00,True
279,country_name_8259,phone_code_7947,country_code_8957,2026-11-07 23:26:00,False
221,country_name_9394,phone_code_2864,country_code_6655,2026-08-09 12:18:00,False
540,country_name_6053,phone_code_1744,country_code_4612,2026-07-23 04:03:00,True
210,country_name_5938,phone_code_4460,country_code_3248,2026-05-11 18:20:00,True
8,country_name_9149,phone_code_8055,country_code_3878,2026-03-08 21:34:00,True
513,country_name_6802,phone_code_2180,country_code_7505,2026-01-22 22:01:00,False
944,country_name_2275,phone_code_6129,country_code_8033,2026-10-21 21:45:00,False
297,country_name_2887,phone_code_7636,country_code_1341,2026-06-16 14:51:00,False
852,country_name_6928,phone_code_2443,country_code_8155,2026-02-24 16:27:00,False
537,country_name_2288,phone_code_7484,country_code_6083,2026-06-23 16:21:00,True
79,country_name_9363,phone_code_2868,country_code_9693,2026-09-19 15:57:00,False
360,country_name_3419,phone_code_4871,country_code_2684,2026-03-16 17:12:00,True
617,country_name_3504,phone_code_2234,country_code_3902,2026-11-19 00:29:00,False
698,country_name_6295,phone_code_6179,country_code_3473,2026-08-14 11:30:00,False
647,country_name_5961,phone_code_5500,country_code_1920,2026-07-01 01:04:00,False
473,country_name_8404,phone_code_1616,country_code_1932,2026-07-08 18:04:00,True
630,country_name_9307,phone_code_7299,country_code_8581,2026-10-26 02:50:00,True
461,country_name_4084,phone_code_6267,country_code_8792,2026-09-14 13:03:00,False
106,country_name_6626,phone_code_2381,country_code_9266,2026-11-27 14:02:00,True
725,country_name_8172,phone_code_8199,country_code_9586,2026-09-26 04:10:00,False
382,country_name_5634,phone_code_7347,country_code_7697,2026-06-24 06:38:00,True
809,country_name_6482,phone_code_2079,country_code_6401,2026-02-19 02:43:00,False
291,country_name_5128,phone_code_3463,country_code_6461,2026-02-12 03:42:00,True
939,country_name_6731,phone_code_6082,country_code_7421,2026-03-09 04:45:00,True
318,country_name_7171,phone_code_6381,country_code_3093,2026-12-11 07:53:00,True
662,country_name_7937,phone_code_9331,country_code_6928,2026-01-10 20:19:00,True
974,country_name_4509,phone_code_6598,country_code_8967,2026-04-09 16:08:00,True
80,country_name_5846,phone_code_2657,country_code_9317,2026-10-05 08:56:00,True
678,country_name_6517,phone_code_3147,country_code_7172,2026-03-20 14:11:00,True
739,country_name_8170,phone_code_1715,country_code_7731,2026-07-07 06:46:00,True
993,country_name_8277,phone_code_5668,country_code_8355,2026-05-01 02:15:00,False
989,country_name_8684,phone_code_4178,country_code_7026,2026-12-15 03:28:00,False
788,country_name_5616,phone_code_7256,country_code_9239,2026-09-28 22:10:00,True
821,country_name_3267,phone_code_5096,country_code_1854,2026-11-26 00:55:00,False
568,country_name_2680,phone_code_9452,country_code_3042,2026-05-26 11:48:00,True
280,country_name_8361,phone_code_9410,country_code_3414,2026-08-12 11:58:00,True
837,country_name_8391,phone_code_6727,country_code_1436,2026-08-01 10:25:00,False
242,country_name_7326,phone_code_2337,country_code_7142,2026-04-25 09:20:00,True
860,country_name_6493,phone_code_3392,country_code_3254,2026-01-20 18:58:00,False
713,country_name_3273,phone_code_8685,country_code_8349,2026-11-12 09:57:00,True
20,country_name_5193,phone_code_4533,country_code_3449,2026-10-09 08:38:00,False
114,country_name_5720,phone_code_4893,country_code_5934,2026-03-04 10:15:00,False
655,country_name_8489,phone_code_2029,country_code_2816,2026-09-14 04:34:00,True
648,country_name_9443,phone_code_4963,country_code_3352,2026-05-30 22:00:00,False
247,country_name_7825,phone_code_4068,country_code_2402,2026-09-26 20:04:00,True
400,country_name_8702,phone_code_1713,country_code_7338,2026-07-11 17:47:00,True
366,country_name_2106,phone_code_6649,country_code_4950,2026-12-04 05:06:00,False
137,country_name_1726,phone_code_6772,country_code_9945,2026-06-24 05:11:00,False
713,country_name_8840,phone_code_3986,country_code_3209,2026-02-03 07:49:00,False
38,country_name_5807,phone_code_4302,country_code_1717,2026-04-13 10:20:00,False
528,country_name_7524,phone_code_9897,country_code_8756,2026-05-10 10:48:00,True
293,country_name_6848,phone_code_1783,country_code_6438,2026-05-20 12:51:00,False
448,country_name_7553,phone_code_8204,country_code_7334,2026-06-23 14:31:00,False
377,country_name_9507,phone_code_5369,country_code_2353,2026-08-06 11:27:00,True
559,country_name_5813,phone_code_6262,country_code_2680,2026-02-10 19:42:00,False
314,country_name_8305,phone_code_7981,country_code_3730,2026-12-20 23:22:00,False
44,country_name_6776,phone_code_8126,country_code_5498,2026-11-24 10:04:00,False
373,country_name_9406,phone_code_3621,country_code_1510,2026-03-16 04:43:00,False
36,country_name_3068,phone_code_2101,country_code_4866,2026-11-27 20:23:00,False
973,country_name_1530,phone_code_3513,country_code_8371,2026-07-09 20:28:00,True
588,country_name_3255,phone_code_9674,country_code_7012,2026-07-23 19:41:00,False
256,country_name_2858,phone_code_1424,country_code_4048,2026-09-14 01:24:00,True
269,country_name_5264,phone_code_8311,country_code_4515,2026-11-10 18:44:00,False
205,country_name_3009,phone_code_3223,country_code_2213,2026-08-20 14:57:00,False
90,country_name_6236,phone_code_6692,country_code_2063,2026-10-10 02:18:00,False
872,country_name_3580,phone_code_3852,country_code_6922,2026-09-18 16:07:00,True
812,country_name_3275,phone_code_4878,country_code_9094,2026-01-14 20:35:00,False
479,country_name_3126,phone_code_2412,country_code_2077,2026-06-08 21:45:00,False
539,country_name_7730,phone_code_7708,country_code_2208,2026-03-06 19:41:00,True
461,country_name_8632,phone_code_9476,country_code_6644,2026-03-08 02:40:00,True
787,country_name_3114,phone_code_8088,country_code_9238,2026-01-29 12:33:00,True
312,country_name_3697,phone_code_3653,country_code_6286,2026-12-30 16:22:00,False
867,country_name_2292,phone_code_5105,country_code_4216,2026-11-23 02:17:00,True
641,country_name_5961,phone_code_9740,country_code_2530,2026-09-16 05:10:00,True
176,country_name_6531,phone_code_1674,country_code_1464,2026-02-11 10:41:00,False
667,country_name_4453,phone_code_7825,country_code_1496,2026-09-13 05:34:00,False
658,country_name_5949,phone_code_8912,country_code_5012,2026-12-17 21:19:00,False
75,country_name_1981,phone_code_3589,country_code_8202,2026-08-02 00:29:00,True
349,country_name_3353,phone_code_6121,country_code_6231,2026-06-26 21:08:00,False
528,country_name_2739,phone_code_6228,country_code_4960,2026-08-27 12:17:00,False
254,country_name_3308,phone_code_2586,country_code_1829,2026-05-29 21:55:00,False
255,country_name_3616,phone_code_6364,country_code_6123,2026-04-08 14:31:00,False
511,country_name_6055,phone_code_9148,country_code_1379,2026-02-16 21:32:00,False
990,country_name_4944,phone_code_4524,country_code_6781,2026-01-25 10:18:00,False
612,country_name_8710,phone_code_5681,country_code_9793,2026-01-05 12:27:00,True
904,country_name_5333,phone_code_6992,country_code_7606,2026-07-07 10:25:00,True
584,country_name_4189,phone_code_6939,country_code_5728,2026-02-07 21:32:00,False
783,country_name_5582,phone_code_2946,country_code_3108,2026-02-19 21:23:00,False
572,country_name_6990,phone_code_3363,country_code_4261,2026-11-06 01:25:00,True
47,country_name_1637,phone_code_3245,country_code_6456,2026-09-01 01:29:00,True
