org_id,org_name,org_type,street,city_name,state_code,zip_code,mission,web_url,phone,email,size,rating,source,cat_id,created_at,last_updated_at
org_id_2274,org_name_6942,,street_6496,city_name_1459,state_code_4924,zip_code_5623,mission_3666,web_url_9873,phone_2744,email_2070,size_4471,612,,cat_id_1179,2026-06-08 15:35:00,2026-04-15 05:59:00
org_id_1530,org_name_4937,,street_5410,city_name_2393,state_code_1735,zip_code_8926,mission_1748,web_url_1787,phone_6154,email_2527,size_6056,9,,cat_id_6843,2026-05-25 21:32:00,2026-04-10 19:48:00
org_id_7400,org_name_6830,,street_3122,city_name_2595,state_code_6428,zip_code_7672,mission_9250,web_url_2654,phone_9227,email_3460,size_1388,602,,cat_id_7260,2026-09-03 03:55:00,2026-01-20 18:10:00
org_id_3482,org_name_8587,,street_2290,city_name_2528,state_code_4794,zip_code_4533,mission_3307,web_url_3638,phone_9218,email_9459,size_9573,953,,cat_id_6593,2026-08-18 13:21:00,2026-05-29 20:39:00
org_id_8059,org_name_1655,,street_7350,city_name_4917,state_code_4421,zip_code_2228,mission_3496,web_url_9151,phone_2595,email_1244,size_3336,785,,cat_id_6071,2026-10-08 11:31:00,2026-02-18 23:20:00
org_id_3780,org_name_5843,,street_3645,city_name_2116,state_code_5589,zip_code_6952,mission_6789,web_url_2461,phone_2165,email_3935,size_8548,265,,cat_id_8753,2026-05-12 23:41:00,2026-03-13 12:36:00
org_id_8999,org_name_1648,,street_6955,city_name_5696,state_code_7568,zip_code_7701,mission_3113,web_url_8222,phone_7008,email_9396,size_6138,383,,cat_id_2367,2026-12-16 22:32:00,2026-08-19 17:56:00
org_id_1699,org_name_1934,,street_5011,city_name_1130,state_code_3532,zip_code_2725,mission_5762,web_url_7157,phone_3592,email_7541,size_2195,229,,cat_id_7360,2026-08-26 06:05:00,2026-06-28 23:29:00
org_id_9767,org_name_8616,,street_2787,city_name_2406,state_code_3953,zip_code_2775,mission_7503,web_url_8096,phone_4268,email_7578,size_6385,67,,cat_id_6198,2026-06-26 04:31:00,2026-04-20 07:47:00
org_id_8802,org_name_2873,,street_5560,city_name_8447,state_code_1627,zip_code_9930,mission_3551,web_url_8699,phone_3384,email_4497,size_6245,582,,cat_id_1513,2026-11-04 21:03:00,2026-07-05 22:30:00
org_id_4496,org_name_1886,,street_4465,city_name_1375,state_code_7929,zip_code_5421,mission_5129,web_url_3885,phone_2369,email_3322,size_2134,281,,cat_id_7636,2026-02-11 18:55:00,2026-12-31 23:55:00
org_id_7876,org_name_9597,,street_4507,city_name_5250,state_code_4015,zip_code_1880,mission_2514,web_url_8021,phone_6603,email_5864,size_3695,204,,cat_id_6722,2026-08-04 00:30:00,2026-10-03 07:50:00
org_id_3632,org_name_8156,,street_6811,city_name_7375,state_code_1162,zip_code_4253,mission_2274,web_url_3369,phone_6304,email_6185,size_1232,155,,cat_id_8514,2026-03-18 00:55:00,2026-06-12 12:50:00
org_id_7658,org_name_5305,,street_9531,city_name_1060,state_code_8381,zip_code_3059,mission_8361,web_url_2596,phone_1597,email_4581,size_4074,431,,cat_id_9947,2026-03-28 04:24:00,2026-04-21 20:13:00
org_id_4131,org_name_1235,,street_7066,city_name_6960,state_code_1265,zip_code_5947,mission_6029,web_url_9226,phone_3043,email_9177,size_8471,424,,cat_id_7723,2026-06-30 20:53:00,2026-10-05 22:33:00
org_id_6502,org_name_2857,,street_3880,city_name_8517,state_code_8018,zip_code_7113,mission_3898,web_url_3664,phone_9892,email_8141,size_7251,292,,cat_id_8167,2026-11-21 18:44:00,2026-11-14 12:05:00
org_id_2700,org_name_2468,,street_1269,city_name_7738,state_code_2698,zip_code_9133,mission_9924,web_url_2633,phone_8276,email_9247,size_1534,684,,cat_id_5749,2026-08-04 15:14:00,2026-08-22 02:24:00
org_id_2875,org_name_4204,,street_8693,city_name_3038,state_code_6744,zip_code_8601,mission_7765,web_url_7484,phone_1124,email_7138,size_4668,520,,cat_id_5646,2026-05-19 06:16:00,2026-06-07 22:43:00
org_id_4957,org_name_1068,,street_7792,city_name_1535,state_code_1254,zip_code_1430,mission_3512,web_url_7134,phone_9502,email_6201,size_6490,175,,cat_id_8045,2026-05-05 02:25:00,2026-04-10 04:41:00
org_id_7444,org_name_1845,,street_8030,city_name_3111,state_code_7396,zip_code_3846,mission_7604,web_url_6212,phone_9475,email_3595,size_8166,237,,cat_id_2631,2026-12-30 13:32:00,2026-03-03 05:36:00
org_id_7422,org_name_5263,,street_3605,city_name_6282,state_code_4338,zip_code_2527,mission_2528,web_url_1420,phone_8166,email_1189,size_3507,29,,cat_id_9907,2026-02-11 03:24:00,2026-01-14 08:46:00
org_id_3138,org_name_8433,,street_6867,city_name_4056,state_code_4927,zip_code_4633,mission_5864,web_url_4175,phone_9772,email_5018,size_7194,789,,cat_id_5267,2026-12-04 10:17:00,2026-02-12 13:40:00
org_id_1379,org_name_2694,,street_2817,city_name_8522,state_code_3010,zip_code_2754,mission_3323,web_url_5627,phone_5292,email_3959,size_2520,80,,cat_id_9097,2026-07-05 15:25:00,2026-02-22 00:50:00
