city_id,state_id,city_name,lattitude,longitude,last_update_date
845,583,city_name_5728,,,2026-08-13 12:29:00
706,312,city_name_7594,,,2026-05-21 01:34:00
506,449,city_name_2317,,,2026-11-03 10:56:00
443,753,city_name_6280,,,2026-11-06 17:01:00
94,235,city_name_1339,,,2026-12-11 17:36:00
42,782,city_name_3870,,,2026-08-30 01:41:00
453,939,city_name_5557,,,2026-04-04 03:27:00
651,834,city_name_9056,,,2026-02-17 00:22:00
419,342,city_name_6260,,,2026-12-10 12:54:00
165,338,city_name_7744,,,2026-12-23 00:18:00
679,968,city_name_7561,,,2026-10-09 10:29:00
91,323,city_name_5135,,,2026-06-15 12:49:00
414,886,city_name_9431,,,2026-01-02 06:55:00
556,474,city_name_7770,,,2026-01-28 15:33:00
371,638,city_name_9167,,,2026-11-17 23:48:00
53,209,city_name_5375,,,2026-10-09 13:59:00
295,449,city_name_8941,,,2026-03-04 09:40:00
624,819,city_name_4920,,,2026-12-30 14:19:00
565,15,city_name_7684,,,2026-02-17 16:53:00
935,117,city_name_8560,,,2026-03-03 05:53:00
158,511,city_name_5781,,,2026-09-19 07:17:00
426,855,city_name_8905,,,2026-08-30 16:29:00
565,149,city_name_7284,,,2026-04-09 04:32:00
765,901,city_name_3236,,,2026-02-05 17:49:00
809,875,city_name_7798,,,2026-06-25 01:17:00
841,3,city_name_5634,,,2026-06-03 03:37:00
676,502,city_name_3434,,,2026-08-18 02:30:00
354,341,city_name_9903,,,2026-07-13 23:59:00
330,891,city_name_4090,,,2026-12-24 16:36:00
393,240,city_name_7730,,,2026-01-23 19:47:00
485,723,city_name_7246,,,2026-07-18 06:50:00
841,668,city_name_3492,,,2026-09-11 10:08:00
515,989,city_name_6439,,,2026-02-21 23:06:00
539,933,city_name_8486,,,2026-01-09 08:09:00
420,892,city_name_3529,,,2026-02-09 00:50:00
993,272,city_name_6546,,,2026-11-17 07:25:00
666,83,city_name_6383,,,2026-12-13 02:24:00
978,325,city_name_8994,,,2026-10-05 10:39:00
71,241,city_name_5708,,,2026-04-28 08:05:00
445,101,city_name_2646,,,2026-08-16 14:44:00
307,926,city_name_1474,,,2026-01-24 19:50:00
58,301,city_name_6873,,,2026-07-11 22:09:00
251,544,city_name_7751,,,2026-10-18 06:50:00
185,175,city_name_3868,,,2026-02-11 04:55:00
392,635,city_name_4945,,,2026-09-13 03:09:00
238,473,city_name_5161,,,2026-08-24 17:42:00
10,921,city_name_8622,,,2026-05-29 06:34:00
162,76,city_name_8237,,,2026-06-27 03:19:00
655,986,city_name_7951,,,2026-12-20 17:29:00
866,310,city_name_4263,,,2026-07-17 00:06:00
243,391,city_name_6881,,,2026-10-22 18:44:00
303,23,city_name_7484,,,2026-05-21 09:36:00
886,703,city_name_1803,,,2026-11-08 08:31:00
853,926,city_name_5689,,,2026-04-29 04:51:00
361,225,city_name_4115,,,2026-11-14 17:43:00
774,739,city_name_3240,,,2026-11-18 12:57:00
643,662,city_name_1645,,,2026-06-08 23:02:00
594,374,city_name_3153,,,2026-02-16 18:20:00
766,426,city_name_3877,,,2026-04-13 13:50:00
553,898,city_name_6994,,,2026-09-30 01:58:00
280,851,city_name_3695,,,2026-05-13 00:51:00
303,765,city_name_6549,,,2026-02-28 23:04:00
145,773,city_name_4696,,,2026-12-14 08:43:00
407,991,city_name_6992,,,2026-02-16 21:00:00
271,550,city_name_3024,,,2026-08-21 20:43:00
767,689,city_name_5295,,,2026-10-27 21:52:00
654,963,city_name_7086,,,2026-02-26 06:14:00
483,26,city_name_6374,,,2026-11-09 16:41:00
65,651,city_name_8606,,,2026-12-25 18:41:00
419,120,city_name_3290,,,2026-01-24 10:19:00
505,119,city_name_2592,,,2026-05-02 02:08:00
398,465,city_name_7078,,,2026-12-11 08:44:00
969,554,city_name_7866,,,2026-10-29 08:46:00
159,907,city_name_7797,,,2026-12-02 12:53:00
502,631,city_name_7686,,,2026-05-24 10:44:00
380,223,city_name_8264,,,2026-08-16 16:54:00
372,102,city_name_7018,,,2026-10-07 05:22:00
63,408,city_name_5520,,,2026-04-08 12:54:00
844,466,city_name_2501,,,2026-12-06 15:41:00
655,612,city_name_1349,,,2026-01-26 19:15:00
129,806,city_name_4362,,,2026-02-06 02:13:00
601,222,city_name_4817,,,2026-06-18 13:50:00
923,611,city_name_1046,,,2026-05-22 13:08:00
554,257,city_name_3858,,,2026-02-27 06:55:00
27,135,city_name_1243,,,2026-07-03 16:37:00
332,17,city_name_3854,,,2026-05-16 10:08:00
760,432,city_name_9619,,,2026-03-01 08:04:00
488,460,city_name_6931,,,2026-09-21 03:06:00
463,516,city_name_4629,,,2026-11-11 10:46:00
803,931,city_name_9543,,,2026-06-04 23:41:00
988,32,city_name_1996,,,2026-09-03 21:27:00
703,111,city_name_9032,,,2026-12-31 23:04:00
921,83,city_name_6277,,,2026-11-08 13:04:00
130,282,city_name_9984,,,2026-12-31 19:24:00
612,544,city_name_5831,,,2026-08-22 01:38:00
441,102,city_name_2874,,,2026-12-03 05:56:00
788,565,city_name_4522,,,2026-08-09 23:56:00
234,424,city_name_6553,,,2026-08-21 21:26:00
748,98,city_name_6120,,,2026-08-07 19:42:00
262,384,city_name_3500,,,2026-12-19 00:04:00
