signoff_id,reason,is_external_auth
1,SESSION_EXPIRED,false
2,COMPLETED_TASK,false
3,SESSION_EXPIRED,false
4,COMPLETED_TASK,false
5,USER_REQUESTED,false
6,ADMIN_ACTION,true
7,SESSION_EXPIRED,true
8,SESSION_EXPIRED,true
9,USER_REQUESTED,false
10,INACTIVITY,false
11,INACTIVITY,false
12,USER_REQUESTED,false
13,USER_REQUESTED,true
14,USER_REQUESTED,true
15,ADMIN_ACTION,false
16,COMPLETED_TASK,false
17,USER_REQUESTED,false
18,ADMIN_ACTION,false
19,ADMIN_ACTION,true
20,INACTIVITY,false
21,USER_REQUESTED,false
22,INACTIVITY,false
23,ADMIN_ACTION,false
24,INACTIVITY,true
25,SESSION_EXPIRED,false
26,COMPLETED_TASK,true
27,ADMIN_ACTION,true
28,ADMIN_ACTION,false
29,ADMIN_ACTION,true
30,ADMIN_ACTION,false
31,SESSION_EXPIRED,false
32,USER_REQUESTED,false
33,USER_REQUESTED,true
34,INACTIVITY,false
35,USER_REQUESTED,false
36,INACTIVITY,false
37,COMPLETED_TASK,true
38,ADMIN_ACTION,false
39,SESSION_EXPIRED,false
40,ADMIN_ACTION,false
41,COMPLETED_TASK,true
42,SESSION_EXPIRED,false
43,SESSION_EXPIRED,true
44,INACTIVITY,true
45,INACTIVITY,false
46,ADMIN_ACTION,false
47,INACTIVITY,true
48,ADMIN_ACTION,true
49,USER_REQUESTED,true
50,SESSION_EXPIRED,true
51,INACTIVITY,false
52,SESSION_EXPIRED,true
53,ADMIN_ACTION,true
54,INACTIVITY,false
55,INACTIVITY,false
56,COMPLETED_TASK,false
57,USER_REQUESTED,true
58,SESSION_EXPIRED,true
59,INACTIVITY,true
60,COMPLETED_TASK,false
61,INACTIVITY,true
62,SESSION_EXPIRED,false
63,ADMIN_ACTION,true
64,COMPLETED_TASK,false
65,ADMIN_ACTION,false
66,USER_REQUESTED,true
67,COMPLETED_TASK,true
68,ADMIN_ACTION,true
69,COMPLETED_TASK,false
70,COMPLETED_TASK,false
71,COMPLETED_TASK,true
72,INACTIVITY,false
73,COMPLETED_TASK,false
74,COMPLETED_TASK,false
75,ADMIN_ACTION,false
76,INACTIVITY,true
77,INACTIVITY,true
78,ADMIN_ACTION,true
79,INACTIVITY,false
80,USER_REQUESTED,false
81,COMPLETED_TASK,false
82,COMPLETED_TASK,false
83,SESSION_EXPIRED,false
84,USER_REQUESTED,false
85,SESSION_EXPIRED,true
86,INACTIVITY,true
87,COMPLETED_TASK,false
88,INACTIVITY,false
89,COMPLETED_TASK,true
90,USER_REQUESTED,false
91,ADMIN_ACTION,true
92,SESSION_EXPIRED,false
93,INACTIVITY,false
94,SESSION_EXPIRED,false
95,INACTIVITY,true
96,SESSION_EXPIRED,false
97,SESSION_EXPIRED,true
98,SESSION_EXPIRED,false
99,INACTIVITY,false
100,INACTIVITY,false
